"","Participant","trialNumber","Sort","Condition","ClipStart","ClipStop","RecordingStart","ETClipStart","ETClipStop"
"152","P04",31,"P04 GemsCued","GemsCued",2499.87551320001,2530.13759860001,2016,483.875513200008,514.137598600006
"153","P04",32,"P04 Tablet","Tablet",2809.4705259,2870.1819946,2678,131.470525900004,192.181994600003
"154","P04",33,"P04 Tablet","Tablet",2878.87408940001,2907.9202053,2678,200.874089400008,229.920205300004
"155","P04",34,"P04 Tablet","Tablet",2918.2306299,2942.5051619,2678,240.230629900005,264.505161900001
"156","P04",35,"P04 Tablet","Tablet",2950.1796569,2971.1008121,2678,272.1796569,293.100812100005
"157","P04",36,"P04 Tablet","Tablet",2977.50731260001,3009.8566936,2678,299.507312600006,331.856693599999
"158","P04",37,"P04 Tablet","Tablet",3020.3339766,3052.78353470001,2678,342.333976599999,374.783534700007
"159","P04",38,"P04 Tablet","Tablet",3060.60842640001,3102.7507238,2678,382.608426400009,424.750723799996
"160","P04",39,"P04 Tablet","Tablet",3109.09050230001,3151.85051600001,2678,431.090502300009,473.850516000006
"161","P05",0,"P05 Baseline","Baseline",370.1722438,407.4099363,-16707,17077.1722438,17114.4099363
"162","P05",1,"P05 Baseline","Baseline",423.1758978,446.8832646,-16707,17130.1758978,17153.8832646
"163","P05",2,"P05 Baseline","Baseline",469.1558641,529.3668634,-16707,17176.1558641,17236.3668634
"164","P05",3,"P05 Baseline","Baseline",541.3289961,588.0930469,-16707,17248.3289961,17295.0930469
"165","P05",4,"P05 Baseline","Baseline",601.4231963,630.6695969,-16707,17308.4231963,17337.6695969
"166","P05",5,"P05 Baseline","Baseline",641.0639899,673.3962061,-16707,17348.0639899,17380.3962061
"167","P05",6,"P05 Baseline","Baseline",687.4270417,715.0550477,-16707,17394.4270417,17422.0550477
"168","P05",7,"P05 Baseline","Baseline",727.4009394,770.7949008,-16707,17434.4009394,17477.7949008
"169","P05",8,"P05 GemsBasic","GemsBasic",1232.1958372,1259.3399893,-15845,17077.1958372,17104.3399893
"170","P05",9,"P05 GemsBasic","GemsBasic",1275.5564287,1303.9518759,-15845,17120.5564287,17148.9518759
"171","P05",10,"P05 GemsBasic","GemsBasic",1315.0131063,1345.6615383,-15845,17160.0131063,17190.6615383
"172","P05",11,"P05 GemsBasic","GemsBasic",1355.4874389,1377.9625833,-15845,17200.4874389,17222.9625833
"173","P05",12,"P05 GemsBasic","GemsBasic",1385.3677214,1396.7292748,-15845,17230.3677214,17241.7292748
"174","P05",13,"P05 GemsBasic","GemsBasic",1410.293027,1452.0186079,-15845,17255.293027,17297.0186079
"175","P05",14,"P05 GemsBasic","GemsBasic",1464.7982147,1499.6503197,-15845,17309.7982147,17344.6503197
"176","P05",15,"P05 GemsBasic","GemsBasic",1508.64267,1533.7180902,-15845,17353.64267,17378.7180902
"177","P05",16,"P05 Tablet","Tablet",1840.6625764,1880.452861,-15236,17076.6625764,17116.452861
"178","P05",17,"P05 Tablet","Tablet",1891.96447,1928.000989,-15236,17127.96447,17164.000989
"179","P05",18,"P05 Tablet","Tablet",1939.9964844,1969.0259279,-15236,17175.9964844,17205.0259279
"180","P05",19,"P05 Tablet","Tablet",1980.9713322,2013.4042089,-15236,17216.9713322,17249.4042089
"181","P05",20,"P05 Tablet","Tablet",2022.3132418,2078.3867023,-15236,17258.3132418,17314.3867023
"182","P05",21,"P05 Tablet","Tablet",2089.5146822,2132.2747076,-15236,17325.5146822,17368.2747076
"183","P05",22,"P05 Tablet","Tablet",2140.6999102,2176.4027934,-15236,17376.6999102,17412.4027934
"184","P05",23,"P05 Tablet","Tablet",2186.2127378,2228.3554256,-15236,17422.2127378,17464.3554256
"185","P05",24,"P05 GemsTablet","GemsTablet",2437.0348016,2471.7687692,-14646,17083.0348016,17117.7687692
"186","P05",25,"P05 GemsTablet","GemsTablet",2478.7925555,2520.601605,-14646,17124.7925555,17166.601605
"187","P05",26,"P05 GemsTablet","GemsTablet",2534.515712,2558.4399388,-14646,17180.515712,17204.4399388
"188","P05",27,"P05 GemsTablet","GemsTablet",2569.768275,2600.8162453,-14646,17215.768275,17246.8162453
"189","P05",28,"P05 GemsTablet","GemsTablet",2614.6315695,2675.3249697,-14646,17260.6315695,17321.3249697
"190","P05",29,"P05 GemsTablet","GemsTablet",2684.2341759,2737.4380823,-14646,17330.2341759,17383.4380823
"191","P05",30,"P05 GemsTablet","GemsTablet",2749.700485,2786.6713047,-14646,17395.700485,17432.6713047
"192","P05",31,"P05 GemsTablet","GemsTablet",2794.2956004,2818.5535977,-14646,17440.2956004,17464.5535977
"193","P05",32,"P05 GemsCued","GemsCued",3130.6366377,3150.6401909,-13982,17112.6366377,17132.6401909
"194","P05",33,"P05 GemsCued","GemsCued",3185.8759381,3206.7804442,-13982,17167.8759381,17188.7804442
"195","P05",34,"P05 GemsCued","GemsCued",3216.9240103,3257.5818591,-13982,17198.9240103,17239.5818591
